nifi1_component,nifi2_equivalent,status,property_changes,recommended_config,examples,source_doc
CalculateParquetOffsets,CalculateParquetOffsets,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-parquet-nar/2.0.0-M3/org.apache.nifi.processors.parquet.CalculateParquetOffsets/"
CalculateRecordStats,CalculateRecordStats,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.CalculateRecordStats/"
ControlRate,ControlRate,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ControlRate/"
ConvertCharacterSet,ConvertCharacterSet,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ConvertCharacterSet/"
CountText,CountText,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.CountText/"
CryptographicHashAttribute,CryptographicHashAttribute,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.CryptographicHashAttribute/"
DebugFlow,DebugFlow,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.DebugFlow/"
DeduplicateRecord,DeduplicateRecord,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.DeduplicateRecord/"
DeleteFile,DeleteFile,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.DeleteFile/"
DetectDuplicate,DetectDuplicate,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.DetectDuplicate/"
DistributeLoad,DistributeLoad,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.DistributeLoad/"
DuplicateFlowFile,DuplicateFlowFile,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.DuplicateFlowFile/"
EnforceOrder,EnforceOrder,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.EnforceOrder/"
EvaluateJsonPath,EvaluateJsonPath,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.EvaluateJsonPath/"
EvaluateXPath,EvaluateXPath,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.EvaluateXPath/"
EvaluateXQuery,EvaluateXQuery,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.EvaluateXQuery/"
ExtractText,ExtractText,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ExtractText/"
FetchFile,FetchFile,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.FetchFile/"
FilterAttribute,FilterAttribute,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.FilterAttribute/"
FlattenJson,FlattenJson,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.FlattenJson/"
GenerateFlowFile,GenerateFlowFile,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.GenerateFlowFile/"
LogAttribute,LogAttribute,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.LogAttribute/"
LogMessage,LogMessage,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.LogMessage/"
MergeContent,MergeContent,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.MergeContent/"
ModifyBytes,ModifyBytes,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ModifyBytes/"
MonitorActivity,MonitorActivity,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.MonitorActivity/"
ReplaceText,ReplaceText,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ReplaceText/"
RouteOnAttribute,RouteOnAttribute,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.RouteOnAttribute/"
RouteOnContent,RouteOnContent,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.RouteOnContent/"
ScanAttribute,ScanAttribute,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ScanAttribute/"
ScanContent,ScanContent,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ScanContent/"
SegmentContent,SegmentContent,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.SegmentContent/"
SplitContent,SplitContent,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.SplitContent/"
SplitJson,SplitJson,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.SplitJson/"
SplitText,SplitText,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.SplitText/"
SplitXml,SplitXml,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.SplitXml/"
TailFile,TailFile,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.TailFile/"
TransformXml,TransformXml,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.TransformXml/"
UpdateAttribute,UpdateAttribute,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.UpdateAttribute/"
UpdateCounter,UpdateCounter,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.UpdateCounter/"
ValidateXml,ValidateXml,active,"No changes","No changes required.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-standard-nar/2.0.0-M3/org.apache.nifi.processors.standard.ValidateXml/"
CalculateParquetRowGroupOffsets,CalculateParquetRowGroupOffsets,active,"No changes in properties. Change in packaging.","The `nifi-parquet-nar` and `nifi-hadoop-libraries-nar` are no longer included by default. They must be manually downloaded and added to the `extensions` directory.","N/A","https://docs.cloudera.com/cdp-private-cloud-base/7.1.9/nifi-release-notes/topics/nifi-whats-new-in-20.html"
CaptureChangeMySQL,CaptureChangeMySQL,active,"No changes","No changes required. Ensure MySQL JDBC driver is compatible with the Java 21 runtime.","N/A","https://nifi.apache.org/docs/nifi-1.28.0/components/org.apache.nifi/nifi-cdc-nar/1.28.0/org.apache.nifi.processors.cdc.CaptureChangeMySQL/"
CompareFuzzyHash,-,removed,"The processor is unmaintained and planned for removal.","Find an alternative approach for comparing fuzzy hashes before migrating. No direct replacement is provided.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ConnectWebSocket,ConnectWebSocket,active,"No direct property changes. May require compatible Controller Services.","Ensure any associated WebSocketClientService is configured correctly for NiFi 2.0.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-websocket-nar/2.0.0-M3/org.apache.nifi.processors.websocket.ConnectWebSocket/"
ConsumeAMQP,ConsumeAMQP,active,"No direct property changes. Review environment compatibility (Java 21, Parameter Contexts).","Ensure AMQP client libraries are compatible and migrate any Variable Registry usage to Parameter Contexts.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-amqp-nar/2.0.0-M3/org.apache.nifi.processors.amqp.ConsumeAMQP/"
ConsumeElasticsearch,ConsumeElasticsearch,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-elasticsearch-restapi-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-elasticsearch-restapi-nar/2.0.0-M3/org.apache.nifi.processors.elasticsearch.ConsumeElasticsearch/"
ConsumeEWS,-,removed,"Processor removed in NiFi 2.0.","No direct replacement. Consider using Microsoft Graph API via InvokeHTTP.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
ConsumeGCPubSub,ConsumeGCPubSub,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-gcp-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-gcp-nar/2.0.0-M3/org.apache.nifi.processors.gcp.pubsub.ConsumeGCPubSub/"
ConsumeGCPubSubLite,ConsumeGCPubSubLite,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-gcp-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-gcp-nar/2.0.0-M3/org.apache.nifi.processors.gcp.pubsub.ConsumeGCPubSubLite/"
ConsumeIMAP,ConsumeIMAP,active,"No direct property changes. Review environment compatibility (Java 21, Parameter Contexts).","Ensure JavaMail libraries are compatible and migrate any Variable Registry usage to Parameter Contexts.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-email-nar/2.0.0-M3/org.apache.nifi.processors.email.ConsumeIMAP/"
ConsumeKinesisStream,ConsumeKinesisStream,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-aws-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.kinesis.ConsumeKinesisStream/"
ConsumeMQTT,ConsumeMQTT,active,"No direct property changes. Possible NAR coordinate changes.","Review environment (Java 21, etc.) and check if nifi-mqtt-nar bundle coordinates need updates in flow.json.gz.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-mqtt-nar/2.0.0-M3/org.apache.nifi.processors.mqtt.ConsumeMQTT/"
ConsumePOP3,ConsumePOP3,active,"No direct property changes. Review environment compatibility (Java 21, Parameter Contexts).","Ensure JavaMail libraries are compatible and migrate any Variable Registry usage to Parameter Contexts.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-email-nar/2.0.0-M3/org.apache.nifi.processors.email.ConsumePOP3/"
ConsumeWindowsEventLog,ConsumeWindowsEventLog,active,"No direct property changes. Review environment compatibility (Java 21, Parameter Contexts).","Ensure any required Windows libraries or configurations are compatible with the Java 21 runtime.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-windows-event-log-nar/2.0.0-M3/org.apache.nifi.processors.windows.event.log.ConsumeWindowsEventLog/"
ConvertExcelToCSVProcessor,ConvertRecord,deprecated,"Processor is deprecated.","Use ConvertRecord with an ExcelReader and a CSVRecordSetWriter.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-office-nar/2.0.0-M3/org.apache.nifi.processors.office.ConvertExcelToCSVProcessor/"
CopyS3Object,CopyS3Object,active,"No breaking changes. Functionality enhanced in NiFi 2.0.","Review environment (Java 21, etc.) and new S3 capabilities. Check for potential nifi-aws-nar bundle coordinate changes.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-aws-nar/2.0.0-M3/org.apache.nifi.processors.aws.s3.CopyS3Object/"
DecryptContent,-,deprecated,"Processor is deprecated and will be removed in NiFi 2.x.","For PGP, use DecryptContentPGP. For other formats, no direct replacement is provided.","N/A","https://cwiki.apache.org/confluence/display/NIFI/Deprecated+Components"
DecryptContentAge,DecryptContentAge,active,"No direct property changes. Review environment compatibility (Java 21, Parameter Contexts).","Ensure underlying encryption libraries are compatible with Java 21.","N/A","https://nifi.apache.org/docs/nifi-2.0.0-M3/components/org.apache.nifi/nifi-security-nar/2.0.0-M3/org.apache.nifi.processors.security.DecryptContentAge/"
